,US_County_FIPS,_class,n_species,n_red
568,02122,POLYPODIOPSIDA,1,0
569,02122,REPTILIA,2,2
570,02130,AMPHIBIA,7,0
571,02130,AVES,93,5
572,02130,INSECTA,1,0
573,02130,LILIOPSIDA,2,0
574,02130,MAGNOLIOPSIDA,9,0
575,02130,MAMMALIA,44,2
576,02130,POLYPODIOPSIDA,1,0
577,02130,REPTILIA,4,3
578,02150,AMPHIBIA,1,0
579,02150,AVES,88,8
580,02150,INSECTA,1,0
581,02150,LILIOPSIDA,1,0
582,02150,MAGNOLIOPSIDA,4,0
583,02150,MAMMALIA,38,4
584,02150,POLYPODIOPSIDA,1,0
585,02150,REPTILIA,3,3
586,02164,AMPHIBIA,1,0
587,02164,AVES,96,8
588,02164,INSECTA,1,0
589,02164,LILIOPSIDA,1,0
590,02164,MAGNOLIOPSIDA,4,0
591,02164,MAMMALIA,47,5
592,02164,POLYPODIOPSIDA,1,0
593,02164,REPTILIA,2,2
594,02170,AMPHIBIA,2,0
595,02170,AVES,97,7
596,02170,INSECTA,1,0
597,02170,LILIOPSIDA,1,0
598,02170,MAGNOLIOPSIDA,4,0
599,02170,MAMMALIA,50,4
600,02170,POLYPODIOPSIDA,1,0
601,02170,REPTILIA,2,2
602,02180,AMPHIBIA,1,0
603,02180,AVES,105,7
604,02180,INSECTA,1,0
605,02180,LILIOPSIDA,1,0
606,02180,MAGNOLIOPSIDA,4,0
607,02180,MAMMALIA,41,5
608,02180,POLYPODIOPSIDA,1,0
609,02185,AMPHIBIA,1,0
610,02185,AVES,95,6
611,02185,INSECTA,1,0
612,02185,LILIOPSIDA,1,0
613,02185,MAGNOLIOPSIDA,5,0
614,02185,MAMMALIA,39,3
615,02185,POLYPODIOPSIDA,1,0
616,02188,AMPHIBIA,1,0
617,02188,AVES,98,5
618,02188,INSECTA,1,0
619,02188,LILIOPSIDA,1,0
620,02188,MAGNOLIOPSIDA,4,0
621,02188,MAMMALIA,43,4
622,02188,POLYPODIOPSIDA,1,0
623,02195,AMPHIBIA,5,0
624,02195,AVES,88,5
625,02195,INSECTA,1,0
626,02195,LILIOPSIDA,2,0
627,02195,MAGNOLIOPSIDA,8,0
628,02195,MAMMALIA,44,3
629,02195,POLYPODIOPSIDA,1,0
630,02195,REPTILIA,3,3
631,02198,AMPHIBIA,7,0
632,02198,AVES,89,5
633,02198,INSECTA,1,0
634,02198,LILIOPSIDA,2,0
635,02198,MAGNOLIOPSIDA,9,0
636,02198,MAMMALIA,45,3
637,02198,POLYPODIOPSIDA,1,0
638,02198,REPTILIA,4,3
639,02220,AVES,75,6
640,02220,INSECTA,1,0
641,02220,LILIOPSIDA,1,0
642,02220,MAGNOLIOPSIDA,3,0
643,02220,MAMMALIA,15,3
644,02220,POLYPODIOPSIDA,1,0
645,02220,REPTILIA,3,3
646,02230,AMPHIBIA,3,0
647,02230,AVES,91,5
648,02230,INSECTA,1,0
649,02230,LILIOPSIDA,2,0
650,02230,MAGNOLIOPSIDA,9,0
651,02230,MAMMALIA,49,3
652,02230,POLYPODIOPSIDA,1,0
653,02230,REPTILIA,3,3
654,02240,AMPHIBIA,2,0
655,02240,AVES,82,4
656,02240,INSECTA,1,0
657,02240,LILIOPSIDA,1,0
658,02240,MAGNOLIOPSIDA,5,0
659,02240,MAMMALIA,41,2
660,02240,POLYPODIOPSIDA,1,0
661,02261,AMPHIBIA,3,0
662,02261,AVES,99,6
663,02261,INSECTA,1,0
664,02261,LILIOPSIDA,1,0
665,02261,MAGNOLIOPSIDA,5,0
666,02261,MAMMALIA,50,3
667,02261,POLYPODIOPSIDA,1,0
668,02261,REPTILIA,3,3
669,02270,AMPHIBIA,1,0
670,02270,AVES,88,7
671,02270,INSECTA,1,0
672,02270,LILIOPSIDA,1,0
