,US_County_FIPS,_class,n_species,n_red
1459,12031,LILIOPSIDA,2,0
1460,12031,MALACOSTRACA,11,0
1461,12031,MAMMALIA,32,6
1462,12031,REPTILIA,6,6
1463,12033,ACTINOPTERYGII,165,11
1464,12033,ANTHOZOA,3,1
1465,12033,AVES,81,1
1466,12033,CHONDRICHTHYES,64,39
1467,12033,GASTROPODA,17,0
1468,12033,LILIOPSIDA,5,0
1469,12033,MAGNOLIOPSIDA,1,0
1470,12033,MALACOSTRACA,9,0
1471,12033,MAMMALIA,28,5
1472,12033,REPTILIA,7,6
1473,12035,ACTINOPTERYGII,176,14
1474,12035,ANTHOZOA,8,2
1475,12035,AVES,83,2
1476,12035,CEPHALASPIDOMORPHI,1,0
1477,12035,CHONDRICHTHYES,56,37
1478,12035,GASTROPODA,15,0
1479,12035,LILIOPSIDA,4,0
1480,12035,MAGNOLIOPSIDA,2,0
1481,12035,MALACOSTRACA,11,0
1482,12035,MAMMALIA,31,5
1483,12035,REPTILIA,7,6
1484,12037,ACTINOPTERYGII,168,11
1485,12037,ANTHOZOA,7,3
1486,12037,AVES,82,1
1487,12037,CHONDRICHTHYES,63,39
1488,12037,GASTROPODA,19,2
1489,12037,LILIOPSIDA,5,0
1490,12037,MAGNOLIOPSIDA,1,0
1491,12037,MALACOSTRACA,11,0
1492,12037,MAMMALIA,28,5
1493,12037,REPTILIA,7,6
1494,12039,ACTINOPTERYGII,14,2
1495,12039,AVES,67,1
1496,12039,GASTROPODA,5,0
1497,12039,MAMMALIA,1,0
1498,12039,REPTILIA,1,1
1499,12041,ACTINOPTERYGII,26,2
1500,12041,AVES,72,2
1501,12041,GASTROPODA,5,0
1502,12041,MAMMALIA,1,0
1503,12043,ACTINOPTERYGII,15,2
1504,12043,AVES,68,1
1505,12043,GASTROPODA,3,0
1506,12043,MAMMALIA,2,1
1507,12043,REPTILIA,1,1
1508,12045,ACTINOPTERYGII,170,11
1509,12045,ANTHOZOA,5,3
1510,12045,AVES,81,1
1511,12045,CHONDRICHTHYES,60,38
1512,12045,GASTROPODA,19,2
1513,12045,LILIOPSIDA,5,0
1514,12045,MAGNOLIOPSIDA,1,0
1515,12045,MALACOSTRACA,11,0
