,US_County_FIPS,_class,n_species,n_red
235,01039,GASTROPODA,24,0
236,01039,INSECTA,3,1
237,01039,LILIOPSIDA,5,0
238,01039,MAGNOLIOPSIDA,4,0
239,01039,MALACOSTRACA,37,2
240,01039,MAMMALIA,5,0
241,01039,REPTILIA,14,0
242,01041,ACTINOPTERYGII,139,8
243,01041,AMPHIBIA,45,1
244,01041,AVES,112,2
245,01041,BIVALVIA,27,3
246,01041,CEPHALASPIDOMORPHI,3,0
247,01041,GASTROPODA,20,0
248,01041,INSECTA,2,1
249,01041,LILIOPSIDA,4,0
250,01041,MAGNOLIOPSIDA,3,0
251,01041,MALACOSTRACA,40,1
252,01041,MAMMALIA,5,0
253,01041,REPTILIA,13,0
254,01043,ACTINOPTERYGII,148,16
255,01043,AMPHIBIA,35,2
256,01043,AVES,110,2
257,01043,BIVALVIA,48,11
258,01043,CEPHALASPIDOMORPHI,5,0
259,01043,GASTROPODA,15,0
260,01043,INSECTA,4,1
261,01043,LILIOPSIDA,4,0
262,01043,MAGNOLIOPSIDA,2,0
263,01043,MALACOSTRACA,56,8
264,01043,MAMMALIA,5,0
265,01043,REPTILIA,6,0
266,01045,ACTINOPTERYGII,86,3
267,01045,AMPHIBIA,43,2
268,01045,AVES,114,2
269,01045,BIVALVIA,14,1
270,01045,CEPHALASPIDOMORPHI,1,0
271,01045,GASTROPODA,18,0
272,01045,INSECTA,3,1
273,01045,LILIOPSIDA,4,0
274,01045,MAGNOLIOPSIDA,3,0
275,01045,MALACOSTRACA,26,0
276,01045,MAMMALIA,5,0
277,01045,REPTILIA,13,0
278,01047,ACTINOPTERYGII,126,12
279,01047,AMPHIBIA,39,0
280,01047,AVES,111,2
281,01047,BIVALVIA,22,2
282,01047,CEPHALASPIDOMORPHI,3,0
283,01047,GASTROPODA,18,2
284,01047,INSECTA,2,1
285,01047,LILIOPSIDA,4,0
286,01047,MAGNOLIOPSIDA,3,0
287,01047,MALACOSTRACA,38,1
288,01047,MAMMALIA,5,0
289,01047,REPTILIA,12,0
290,01049,ACTINOPTERYGII,143,18
291,01049,AMPHIBIA,39,2
292,01049,AVES,110,3
